group,order,table,connection
platform,1,entitlement_limits,platform
platform,2,entitlements,platform
platform,3,plan_entitlements,platform
platform,4,plans,platform
platform,5,saas_invoice_items,platform
platform,6,saas_invoices,platform
platform,7,saas_payments,platform
platform,8,subscription_changes,platform
platform,9,subscription_events,platform
platform,10,subscription_renewals,platform
platform,11,subscriptions,platform
platform,12,tenant_applications,platform
platform,13,tenant_databases,platform
platform,14,tenant_health_checks,platform
platform,15,tenant_lifecycle_events,platform
platform,16,tenant_provisioning_logs,platform
platform,17,tenants,platform
platform,18,usage_counters,platform
tenant,1,access_reviews,tenant
tenant,2,activity_logs,tenant
tenant,3,api_clients,tenant
tenant,4,api_key_events,tenant
tenant,5,api_rate_limit_events,tenant
tenant,6,api_request_logs,tenant
tenant,7,api_scopes,tenant
tenant,8,appointment_history,tenant
tenant,9,appointment_reminders,tenant
tenant,10,appointment_reminders_history,tenant
tenant,11,appointment_series,tenant
tenant,12,appointment_waitlists,tenant
tenant,13,appointments,tenant
tenant,14,audit_exports,tenant
tenant,15,audit_logs,tenant
tenant,16,billing_charge_rules,tenant
tenant,17,billing_closings,tenant
tenant,18,campaign_recipients,tenant
tenant,19,care_adherence,tenant
tenant,20,care_plan_items,tenant
tenant,21,care_plan_milestones,tenant
tenant,22,care_plan_notes,tenant
tenant,23,care_plan_tasks,tenant
tenant,24,care_plans,tenant
tenant,25,cash_drawers,tenant
tenant,26,cash_transfers,tenant
tenant,27,cashbook_entries,tenant
tenant,28,charges,tenant
tenant,29,claim_adjudications,tenant
tenant,30,claim_attachments,tenant
tenant,31,claim_deductions,tenant
tenant,32,claim_items,tenant
tenant,33,claim_status_history,tenant
tenant,34,claim_submissions,tenant
tenant,35,claims,tenant
tenant,36,clinic_profile,tenant
tenant,37,clinic_settings,tenant
tenant,38,clinical_complaints,tenant
tenant,39,clinical_examinations,tenant
tenant,40,clinical_kpis,tenant
tenant,41,clinical_notes,tenant
tenant,42,clinical_observations,tenant
tenant,43,communication_campaigns,tenant
tenant,44,communication_preferences,tenant
tenant,45,communication_templates,tenant
tenant,46,configuration_changes,tenant
tenant,47,consent_audit_events,tenant
tenant,48,consent_events,tenant
tenant,49,consent_types,tenant
tenant,50,consent_versions,tenant
tenant,51,consents,tenant
tenant,52,controlled_medicine_register,tenant
tenant,53,corporate_accounts,tenant
tenant,54,corporate_contract_rates,tenant
tenant,55,corporate_contracts,tenant
tenant,56,corporate_invoices,tenant
tenant,57,credit_notes,tenant
tenant,58,critical_result_alerts,tenant
tenant,59,daily_reconciliations,tenant
tenant,60,dashboard_kpis,tenant
tenant,61,data_export_requests,tenant
tenant,62,data_import_jobs,tenant
tenant,63,debit_adjustments,tenant
tenant,64,delivery_attempts,tenant
tenant,65,department_services,tenant
tenant,66,departments,tenant
tenant,67,discounts,tenant
tenant,68,dispensing_items,tenant
tenant,69,dispensing_orders,tenant
tenant,70,dispensings,tenant
tenant,71,document_access_logs,tenant
tenant,72,document_share_events,tenant
tenant,73,document_shares,tenant
tenant,74,document_templates,tenant
tenant,75,document_versions,tenant
tenant,76,documents,tenant
tenant,77,dosage_schedules,tenant
tenant,78,eligibility_checks,tenant
